,comments
221,"Хорошее издание и качество. Но, имейте ввиду, что тут только 3 части властелина колец, если хотите все хроники Средиземья то Вам это издание не подойдёт."
222,"Когда брала, посмотрела на размер и на то, что книга была обернута в пакет. Но когда вскрыла упаковку, была неприятно удивлена. Книжка была надорвана с корешка и измята внутри. Шрифт и формат, как всегда у АСТ, полностью устраивает. Впрочем, бумага тонковата. Звезды сняла за качество доставки. Вообще, что-то качество в последнее воемя сильно хромает. Неправильные вложения, поврежденный товар. Практически монополия на рынке слишком их расслабила. Нехорошо."
223,"Подскажите, пожалуйста, чей перевод в данной книге?"
224,"Книга прятно удивила. Очень красивое издание. Подарить было бы не стыдно, но брала себе и читаю с удовольствием."
225,"Отличная книга! Яркая,отличный подарок вашим родным и близким!"
226,"Купила книгу,проверять не стала,принесла домой и после вскрытия обнаружила,что снизу порезан переплёт! Обидно"
227,"Книга большая. Внешний вид хороший. Бумага тонкая, но шрифт букв красивый и большой. Покупкой довольна. Обложка яркая, стильная, буквы золтые."
228,"Согласна с предыдущим отзывом. Купила внуку на Новый год, он был счастлив, заказала второму на Рождество, сегодня привезли. Увы, книга помятая, правый верхний угол просто сломан. Отказалась, хотя очень обидно: оставила мальчика без подарка. Я очень хорошо отношусь к магазину, но господа, я понимаю, что Вы не Книжный лабиринт, но все-таки, если не можете обеспечить нормальную доставку подарочных книг, не продавайте их."
229,"Хорошее подарочное издание. Страницы белые. Глубина не 1,4, а 3,5. Все три части. Иллюстрации черно-белые, на любителя. Прекрасный подарок под елочку для тех, кто любит печатные книги."
230,Книга пришла в целости и сохранности
231,"Отличная книга, хороший шрифт, для ребенка очень удобный. Правда упаковка была нарушена и немного помята книга, но незначительно. Рекомендую."
232,"Книга пришла в хорошем состоянии, но без упаковки, т.е. как на фото. Хорошо, что не помялась при доставке, но могла ведь... минус звезду за это, а так отличный товар, как раз на подарок"
233,Волшебство! Всё целое! Спасибо большое!)
234,Упаковано аккуратно.
235,"Книги пришли быстро,без повреждений,но упаковка оставляет желать лучшего. Тонкая плёнка,разорваная со всех сторон-это не упаковка для подарочной книги.копеечные чупа-чупсы упаковываю лучше,а вы всё экономите"
236,"Красивая книга, приятно брать в руки. Подарком ко Дню рождения очень довольна!!"
237,"Качество книги хорошее, но бумага и правда тонковата, к тому же немного смят один угол. Ещё не ожидала встретить тот перевод, где Бильбо и Фордо Торбинсы, а дом их – Торба-на-круче))"
238,"Супер книга, я очень сильно доволен!!!! Отличное качество и оформление, пришла хорошо запечатана!!! Спасибо"
239,"Книга пришла в отличном состоянии, ооочень красивая"
240,Благодарю! Книга в идеальном состоянии!
241,"Отличная книга! Белые листы, хороший шрифт, в конце книги карты! Есть ч/б иллюстрации."
242,"Положили совершенно не ту книгу, пока перезаказала, уже дороже на 10 бел. руб. Очень неприятно"
243,"Товар приехал в отличном состоянии,  книга красивая и интересная"
244,"Всё нормально пришла в целом состоянии без печатных дефектов страницы не склеены единственное на обороте царапина не кретично...но перевод конечно да(, не привычно что Бильбо Бэгенс в книге Бильбо Торбинс...Хоббитон переименован и другие слова и названия привычных по фильму в книге другие, не много но всё же. А в общем хорошая книга для домашней библиотеки и для подарка!"
245,"Пришла практически без упаковки, в одной тонкой плёнке, которая естественно порвалась при доставке.
Уголки были сильно помяты, срез грязный
Одно дело себе, другое на подарок.. естественно возрат"
246,Книга просто замечательная. Доставка быстрая упоковано хорошо.цена приемлемая.
247,"Оформлена в подарочном варианте, понравилась"
248,"Упакован хорошо, повреждений нет."
249,Книга супер
250,"Книга пришла в хорошем состоянии, спасибо."
251,"Все класс.Четыре звезды за упаковку, тоненький целофан, хорошо хоть не помята и углы в норме."
252,Книга ребёнку понравилась. Пришла  целая.
253,"Красивая книга с иллюстрациями, бумага белая, не тяжелая. Рекомендую!"
254,"Хорошее издание, с черно-белыми иллюстрациями и картами, на белой бумаге. Трилогия в переводе Муравьева/Кистяковского."
255,"Хорошая книга,красивая,бумага белая,шрифт не маленький.Цена дешевле чем в магазинах."
256,"Хорошая книга. И не такая тяжелая, как кажется по виду. Хорошая бумага."
257,Отличная книга! Пришла целая!
258,"Прекрасное издание! Пришло быстро, качественно упаковано. Спасибо! Очень довольна покупкой."
259,"Шикарная книга , читается легко , рекомендую"
260,"Очень понравилась, книга большая, брала в качестве подарка, пришла целая"
